"id"|"name"|"unsigned_name"|"description"|"is_composer"|"is_singer"|"is_guru"|"create_date"|"create_by"|"update_date"|"update_by"
"237"|"Pha Lê"|"pha le"||"0"|"1"|"0"|"2013-06-26"|"user1"|"2013-07-19"|"user1"
"238"|"Phúc Trường"|"phuc truong"||"1"|"0"|"0"|"2013-06-26"|"user1"|"2013-07-19"|"user1"
"239"|"Tùng Giang"|"tung giang"||"1"|"0"|"0"|"2013-06-26"|"user1"|"2013-07-19"|"user1"
"240"|"Dương Cầm"|"duong cam"||"1"|"0"|"0"|"2013-06-26"|"user1"|"2013-07-19"|"user1"
"241"|"Đàm Thu Trang"|"dam thu trang"||"0"|"1"|"0"|"2013-06-26"|"user1"|"2013-07-19"|"user1"
"242"|"Lam Phương"|"lam phuong"||"1"|"0"|"0"|"2013-06-26"|"user1"|"2013-07-19"|"user1"
"243"|"Trương Ngọc Ninh"|"truong ngoc ninh"||"1"|"0"|"0"|"2013-06-26"|"user1"|"2013-07-19"|"user1"
"244"|"Lil Nguyễn"|"lil nguyen"||"1"|"0"|"0"|"2013-06-26"|"user1"|"2013-07-19"|"user1"
"245"|"Phạm Quỳnh Anh"|"pham quynh anh"||"0"|"1"|"0"|"2013-06-26"|"user1"|"2013-07-19"|"user1"
"246"|"Nguyễn Văn Chung"|"nguyen van chung"||"1"|"0"|"0"|"2013-06-26"|"user1"|"2013-07-19"|"user1"
"247"|"Văn Phụng"|"van phung"||"1"|"0"|"0"|"2013-06-27"|"user1"|"2013-07-19"|"user1"
"248"|"Trendy Girls Band"|"trendy girls band"||"0"|"1"|"0"|"2013-06-27"|"user1"|"2013-07-19"|"user1"
"249"|"Akira Phan"|"akira phan"||"0"|"1"|"0"|"2013-06-27"|"user1"|"2013-07-19"|"user1"
"250"|"Phan Đinh Tùng"|"phan dinh tung"||"1"|"1"|"0"|"2013-06-27"|"user1"|"2013-07-19"|"user1"
"251"|"Minh Thư"|"minh thu"||"1"|"0"|"0"|"2013-06-27"|"user1"|"2013-07-19"|"user1"
"252"|"Lan Phương"|"lan phuong"||"0"|"1"|"0"|"2013-06-27"|"user1"|"2013-07-19"|"user1"
"253"|"Wanbi Tuấn Anh"|"wanbi tuan anh"||"1"|"1"|"0"|"2013-06-27"|"user1"|"2013-07-19"|"user1"
"254"|"Duy Khoa"|"duy khoa"||"1"|"1"|"0"|"2013-06-27"|"user1"|"2013-07-19"|"user1"
"255"|"Ngọc Lan"|"ngoc lan"||"0"|"1"|"0"|"2013-06-27"|"user1"|"2013-07-19"|"user1"
"256"|"Đặng Trà My"|"dang tra my"||"0"|"1"|"0"|"2013-06-27"|"user1"|"2013-07-19"|"user1"
"257"|"Văn Phong"|"van phong"||"1"|"0"|"0"|"2013-06-27"|"user1"|"2013-07-19"|"user1"
"258"|"V.Music"|"v.music"||"0"|"1"|"0"|"2013-06-28"|"user1"|"2013-07-19"|"user1"
"259"|"Phạm Thế Mỹ"|"pham the my"||"1"|"0"|"0"|"2013-06-29"|"user1"|"2013-07-19"|"user1"
"260"|"Trúc Phương"|"truc phuong"||"1"|"0"|"0"|"2013-06-29"|"user1"|"2013-07-19"|"user1"
"261"|"Đặng Thế Luân"|"dang the luan"||"0"|"1"|"0"|"2013-06-29"|"user1"|"2013-07-19"|"user1"
"262"|"Hồ Hoài Anh"|"ho hoai anh"||"1"|"0"|"0"|"2013-06-29"|"user1"|"2013-07-19"|"user1"
"263"|"Giáp Văn Thạch"|"giap van thach"||"1"|"0"|"0"|"2013-06-29"|"admin"|"2013-07-19"|"admin"
"264"|"Ngọc Linh"|"ngoc linh"||"0"|"1"|"0"|"2013-06-29"|"admin"|"2013-07-19"|"admin"
"265"|"Trần Thu Hà"|"tran thu ha"||"0"|"1"|"0"|"2013-06-29"|"admin"|"2013-07-19"|"admin"
"266"|"Chế Linh"|"che linh"||"0"|"1"|"0"|"2013-06-29"|"admin"|"2013-07-19"|"admin"
"267"|"Thủy Triều Đỏ"|"thuy trieu do"||"1"|"1"|"0"|"2013-06-29"|"admin"|"2013-07-19"|"admin"
"268"|"Cao Minh"|"cao minh"||"0"|"1"|"0"|"2013-06-29"|"admin"|"2013-07-19"|"admin"
"269"|"Nhất Sinh"|"nhat sinh"||"1"|"0"|"0"|"2013-06-29"|"admin"|"2013-07-19"|"admin"
"270"|"Nguyễn Ngọc Tài"|"nguyen ngoc tai"||"1"|"0"|"0"|"2013-06-29"|"admin"|"2013-07-19"|"admin"
"271"|"Minh Thuận"|"minh thuan"||"0"|"1"|"0"|"2013-06-29"|"admin"|"2013-07-19"|"admin"
"272"|"Vũ Quốc Việt"|"vu quoc viet"||"1"|"1"|"0"|"2013-06-29"|"user1"|"2013-07-19"|"user1"
"273"|"Nam Cường"|"nam cuong"||"0"|"1"|"0"|"2013-06-29"|"user1"|"2013-07-19"|"user1"
"274"|"Lâm Thanh Phong"|"lam thanh phong"||"0"|"1"|"0"|"2013-07-01"|"user1"|"2013-07-19"|"user1"
"275"|"Xuân Mai"|"xuan mai"||"0"|"1"|"0"|"2013-07-02"|"user1"|"2013-07-19"|"user1"
"276"|"Kim Anh"|"kim anh"||"0"|"1"|"1"|"2013-07-02"|"user1"|"2013-07-19"|"user1"
"277"|"Từ Công Phụng"|"tu cong phung"||"1"|"0"|"0"|"2013-07-02"|"user1"|"2013-07-19"|"user1"
"278"|"Hồ Việt Trung"|"ho viet trung"||"1"|"0"|"0"|"2013-07-02"|"user1"|"2013-07-19"|"user1"
"279"|"Thành Vương"|"thanh vuong"||"1"|"0"|"0"|"2013-07-04"|"user1"|"2013-07-19"|"user1"
"280"|"Trung Quân Idol"|"trung quan idol"||"0"|"1"|"0"|"2013-07-04"|"user1"|"2013-07-19"|"user1"
"281"|"Ngọc Khuê"|"ngoc khue"||"0"|"1"|"0"|"2013-07-05"|"user1"|"2013-07-19"|"user1"
"282"|"Nguyễn Vĩnh Tiến"|"nguyen vinh tien"||"1"|"0"|"0"|"2013-07-05"|"user1"|"2013-07-19"|"user1"
"283"|"Lê Việt Khánh"|"le viet khanh"||"1"|"0"|"0"|"2013-07-05"|"user1"|"2013-07-19"|"user1"
"284"|"M4U"|"m4u"||"0"|"1"|"0"|"2013-07-05"|"user1"|"2013-07-19"|"user1"
"285"|"Nhất Trung"|"nhat trung"||"1"|"0"|"0"|"2013-07-05"|"user1"|"2013-07-19"|"user1"
"286"|"Quách Cẩm Lê"|"quach cam le"||"0"|"1"|"0"|"2013-07-05"|"user1"|"2013-07-19"|"user1"
"287"|"Tường Văn"|"tuong van"||"1"|"0"|"0"|"2013-07-05"|"user1"|"2013-07-19"|"user1"
"288"|"Hồ Hoàng Yến"|"ho hoang yen"||"0"|"1"|"0"|"2013-07-05"|"user1"|"2013-07-19"|"user1"
"289"|"Nguyễn Hoàng Duy"|"nguyen hoang duy"||"1"|"0"|"0"|"2013-07-05"|"user1"|"2013-07-19"|"user1"
"290"|"Tim"|"tim"||"0"|"1"|"0"|"2013-07-05"|"user1"|"2013-07-19"|"user1"
"291"|"Thái Thịnh"|"thai thinh"||"1"|"0"|"0"|"2013-07-06"|"user1"|"2013-07-19"|"user1"
"292"|"Nhật Tinh Anh"|"nhat tinh anh"||"0"|"1"|"0"|"2013-07-06"|"user1"|"2013-07-19"|"user1"
"293"|"Mạnh Quân"|"manh quan"||"1"|"0"|"0"|"2013-07-06"|"user1"|"2013-07-19"|"user1"
"294"|"Phương Linh"|"phuong linh"||"0"|"1"|"0"|"2013-07-06"|"user1"|"2013-07-19"|"user1"
"295"|"Lê Cát Trọng Lý"|"le cat trong ly"||"1"|"1"|"0"|"2013-07-07"|"user1"|"2013-07-19"|"user1"
"296"|"Đăng Khoa"|"dang khoa"||"1"|"0"|"0"|"2013-07-07"|"user1"|"2013-07-19"|"user1"
"297"|"Artista Band"|"artista band"||"0"|"1"|"0"|"2013-07-07"|"user1"|"2013-07-19"|"user1"
"298"|"Minh Hà"|"minh ha"||"1"|"0"|"0"|"2013-07-07"|"user1"|"2013-07-19"|"user1"
"299"|"Giang Tử"|"giang tu"||"0"|"1"|"0"|"2013-07-07"|"user1"|"2013-07-19"|"user1"
"300"|"Lil' Knight"|"lil' knight"||"1"|"0"|"0"|"2013-07-07"|"user1"|"2013-07-19"|"user1"
"301"|"Nguyên Khôi"|"nguyen khoi"||"0"|"1"|"0"|"2013-07-07"|"user1"|"2013-07-19"|"user1"
"302"|"Tô Tài Năng"|"to tai nang"||"1"|"0"|"0"|"2013-07-07"|"user1"|"2013-07-19"|"user1"
"303"|"Xuân Vinh"|"xuan vinh"||"1"|"0"|"0"|"2013-07-07"|"user1"|"2013-07-19"|"user1"
"304"|"Thu Thủy"|"thu thuy"||"0"|"1"|"0"|"2013-07-07"|"user1"|"2013-07-19"|"user1"
"305"|"Phạm Bá Đức"|"pham ba duc"||"1"|"0"|"0"|"2013-07-07"|"user1"|"2013-07-19"|"user1"
"306"|"Khang Việt"|"khang viet"||"0"|"1"|"0"|"2013-07-07"|"user1"|"2013-07-19"|"user1"
"308"|"Hoàng Bách"|"hoang bach"||"1"|"1"|"0"|"2013-07-09"|"user1"|"2013-07-19"|"user1"
"309"|"Đào Trọng Thịnh"|"dao trong thinh"||"1"|"0"|"0"|"2013-07-09"|"user1"|"2013-07-19"|"user1"
"310"|"Liêu Hưng"|"lieu hung"||"1"|"0"|"0"|"2013-07-09"|"user1"|"2013-07-19"|"user1"
"311"|"Jimmii Nguyễn"|"jimmii nguyen"||"1"|"1"|"0"|"2013-07-09"|"user1"|"2013-07-19"|"user1"
"312"|"Việt Quang"|"viet quang"||"0"|"1"|"0"|"2013-07-09"|"user1"|"2013-07-19"|"user1"
"313"|"Đặng Thế Phong"|"dang the phong"||"1"|"0"|"0"|"2013-07-09"|"user1"|"2013-07-19"|"user1"
"314"|"Nguyễn Hải Phong"|"nguyen hai phong"||"1"|"1"|"0"|"2013-07-09"|"user1"|"2013-07-19"|"user1"
"315"|"Ngô Huỳnh"|"ngo huynh"||"1"|"0"|"0"|"2013-07-09"|"user1"|"2013-07-19"|"user1"
"316"|"Phạm Tuyên"|"pham tuyen"||"1"|"0"|"0"|"2013-07-09"|"user1"|"2013-07-19"|"user1"
"317"|"Đăng Dương"|"dang duong"||"0"|"1"|"0"|"2013-07-09"|"user1"|"2013-07-19"|"user1"
"318"|"Phạm Anh Khoa"|"pham anh khoa"||"0"|"1"|"0"|"2013-07-09"|"user1"|"2013-07-19"|"user1"
"319"|"Quốc Hùng"|"quoc hung"||"1"|"0"|"0"|"2013-07-11"|"user1"|"2013-07-19"|"user1"
"320"|"Phương Thảo"|"phuong thao"||"0"|"1"|"0"|"2013-07-11"|"user1"|"2013-07-19"|"user1"
"321"|"Việt Anh"|"viet anh"||"1"|"0"|"0"|"2013-07-11"|"user1"|"2013-07-19"|"user1"
"322"|"Hoàng Lê Vi"|"hoang le vi"||"0"|"1"|"0"|"2013-07-11"|"user1"|"2013-07-19"|"user1"
"323"|"Mai Thiên Vân"|"mai thien van"||"0"|"1"|"0"|"2013-07-11"|"user1"|"2013-07-19"|"user1"
"324"|"Cindy Thái Tài"|"cindy thai tai"||"0"|"1"|"0"|"2013-07-11"|"user1"|"2013-07-19"|"user1"
"325"|"Phi Nhung"|"phi nhung"||"0"|"1"|"0"|"2013-07-11"|"user1"|"2013-07-19"|"user1"
"326"|"Văn Mai Hương"|"van mai huong"||"0"|"1"|"0"|"2013-07-13"|"user1"|"2013-07-19"|"user1"
"327"|"Hoàng Thi Thơ"|"hoang thi tho"||"1"|"0"|"0"|"2013-07-13"|"user1"|"2013-07-19"|"user1"
"328"|"Lý Thanh"|"ly thanh"||"0"|"1"|"0"|"2013-07-13"|"user1"|"2013-07-19"|"user1"
"329"|"Dương Triều Anh"|"duong trieu anh"||"0"|"1"|"0"|"2013-07-13"|"user1"|"2013-07-19"|"user1"
"330"|"Bằng Cường"|"bang cuong"||"1"|"0"|"0"|"2013-07-13"|"user1"|"2013-07-19"|"user1"
"331"|"Lương Minh"|"luong minh"||"1"|"0"|"0"|"2013-07-13"|"admin"|"2013-07-19"|"admin"
"332"|"Mạc Phong Linh"|"mac phong linh"||"1"|"0"|"0"|"2013-07-13"|"user1"|"2013-07-19"|"user1"
"333"|"Thùy Dương"|"thuy duong"||"0"|"1"|"0"|"2013-07-13"|"user1"|"2013-07-19"|"user1"
"334"|"Tâm Anh"|"tam anh"||"1"|"0"|"0"|"2013-07-13"|"user1"|"2013-07-19"|"user1"
"335"|"Đài Phương Trang"|"dai phuong trang"||"1"|"0"|"0"|"2013-07-13"|"user1"|"2013-07-19"|"user1"
"336"|"Minh Quân"|"minh quan"||"0"|"1"|"0"|"2013-07-13"|"admin"|"2013-07-19"|"admin"
"337"|"Hoàng Thơ"|"hoang tho"||"0"|"1"|"0"|"2013-07-13"|"admin"|"2013-07-19"|"admin"
"338"|"Trương Quốc Khánh"|"truong quoc khanh"||"1"|"0"|"0"|"2013-07-13"|"admin"|"2013-07-19"|"admin"
"340"|"Anh Tuấn"|"anh tuan"||"1"|"1"|"0"|"2013-07-13"|"admin"|"2013-07-19"|"admin"
"341"|"Reno Bình"|"reno binh"||"1"|"1"|"0"|"2013-07-13"|"user1"|"2013-07-19"|"user1"
"342"|"Phương Anh"|"phuong anh"||"0"|"1"|"0"|"2013-07-13"|"user1"|"2013-07-19"|"user1"
"343"|"Xuân Hiếu"|"xuan hieu"||"1"|"0"|"0"|"2013-07-13"|"admin"|"2013-07-19"|"admin"
"344"|"Kasim Hoàng Vũ"|"kasim hoang vu"||"0"|"1"|"0"|"2013-07-13"|"admin"|"2013-07-19"|"admin"
"345"|"Hồng Mơ"|"hong mo"||"0"|"1"|"0"|"2013-07-13"|"user1"|"2013-07-19"|"user1"
"346"|"Da Vàng"|"da vang"||"1"|"1"|"0"|"2013-07-13"|"admin"|"2013-07-19"|"admin"
"347"|"Don Hồ"|"don ho"||"0"|"1"|"0"|"2013-07-13"|"admin"|"2013-07-19"|"admin"
"348"|"Phương Thảo & Ngọc Lễ"|"phuong thao & ngoc le"||"1"|"1"|"0"|"2013-07-13"|"admin"|"2013-07-19"|"admin"
"349"|"Tạ Quang Thắng"|"ta quang thang"||"1"|"1"|"0"|"2013-07-13"|"user1"|"2013-07-19"|"user1"
"350"|"Trịnh - Lâm - Ngân"|"trinh - lam - ngan"||"1"|"0"|"0"|"2013-07-13"|"admin"|"2013-07-19"|"admin"
"351"|"Lê Hà Nguyên"|"le ha nguyen"||"1"|"0"|"0"|"2013-07-13"|"user1"|"2013-07-19"|"user1"
"352"|"Ngô Kiến Huy"|"ngo kien huy"||"0"|"1"|"0"|"2013-07-13"|"user1"|"2013-07-19"|"user1"
"353"|"AC&M"|"ac&m"||"0"|"1"|"0"|"2013-07-13"|"user1"|"2013-07-19"|"user1"
"354"|"Anh Minh"|"anh minh"||"1"|"0"|"0"|"2013-07-13"|"user1"|"2013-07-19"|"user1"
"355"|"Giao Linh"|"giao linh"||"0"|"1"|"0"|"2013-07-17"|"user1"|"2013-07-19"|"user1"
"357"|"Đăng Minh"|"dang minh"||"0"|"1"|"0"|"2013-07-17"|"user1"|"2013-07-19"|"user1"
"358"|"Nguyễn Đình Vũ"|"nguyen dinh vu"||"1"|"0"|"0"|"2013-07-18"|"admin"|"2013-07-19"|"admin"
"359"|"Long Nhật"|"long nhat"||"0"|"1"|"0"|"2013-07-19"|"user1"|"2013-07-19"|"user1"
"360"|"Mặc Thế Nhân"|"mac the nhan"||"1"|"0"|"0"|"2013-07-19"|"user1"|"2013-07-19"|"user1"
"361"|"Chung Tử Lưu"|"chung tu luu"||"0"|"1"|"0"|"2013-07-19"|"user1"|"2013-07-19"|"user1"
"362"|"Bảo Thu"|"bao thu"||"1"|"0"|"0"|"2013-07-19"|"user1"|"2013-07-19"|"user1"
"363"|"Hoàng Thùy Linh"|"hoang thuy linh"||"0"|"1"|"0"|"2013-07-19"|"user1"|"2013-07-19"|"user1"
"364"|"Võ Hạ Trâm"|"vo ha tram"||"0"|"1"|"0"|"2013-07-19"|"user1"|"2013-07-19"|"user1"
"365"|"Lê Uyên Phương"|"le uyen phuong"||"1"|"0"|"0"|"2013-07-19"|"user1"|"2013-07-19"|"user1"
"366"|"Y Phụng"|"y phung"||"0"|"1"|"0"|"2013-07-19"|"user1"|"2013-07-19"|"user1"
"367"|"Tú Quyên"|"tu quyen"||"0"|"1"|"0"|"2013-07-19"|"user1"|"2013-07-19"|"user1"
"368"|"Khúc Lan"|"khuc lan"||"1"|"0"|"0"|"2013-07-19"|"user1"|"2013-07-19"|"user1"
